country,sex,age_group,year,employment_thousands
afg,mf,total,1991,3047.87109375
afg,mf,youth,1991,861.978271484375
afg,mf,adult,1991,2185.89306640625
afg,m,total,1991,2590.974609375
afg,m,youth,1991,712.6781005859375
afg,m,adult,1991,1878.29638671875
afg,f,total,1991,456.8966064453125
afg,f,youth,1991,149.30014038085938
afg,f,adult,1991,307.5964660644531
afg,mf,total,1992,3283.9658203125
afg,mf,youth,1992,929.68359375
afg,mf,adult,1992,2354.2822265625
afg,m,total,1992,2796.6376953125
afg,m,youth,1992,769.434326171875
afg,m,adult,1992,2027.203369140625
afg,f,total,1992,487.3280944824219
afg,f,youth,1992,160.24932861328125
afg,f,adult,1992,327.0787658691406
afg,mf,total,1993,3546.4462890625
afg,mf,youth,1993,1005.9566040039062
afg,mf,adult,1993,2540.48974609375
afg,m,total,1993,3027.29052734375
afg,m,youth,1993,834.2998046875
afg,m,adult,1993,2192.990478515625
afg,f,total,1993,519.156005859375
afg,f,youth,1993,171.65682983398438
afg,f,adult,1993,347.4991455078125
afg,mf,total,1994,3799.855712890625
afg,mf,youth,1994,1079.94384765625
afg,mf,adult,1994,2719.911865234375
afg,m,total,1994,3251.216796875
afg,m,youth,1994,897.757568359375
afg,m,adult,1994,2353.459228515625
afg,f,total,1994,548.6387939453125
afg,f,youth,1994,182.1862030029297
afg,f,adult,1994,366.4526062011719
afg,mf,total,1995,4025.41162109375
afg,mf,youth,1995,1143.5860595703125
afg,mf,adult,1995,2881.825927734375
afg,m,total,1995,3448.88037109375
afg,m,youth,1995,951.6304931640625
afg,m,adult,1995,2497.25
afg,f,total,1995,576.531494140625
afg,f,youth,1995,191.95550537109375
afg,f,adult,1995,384.57598876953125
afg,mf,total,1996,4173.3671875
afg,mf,youth,1996,1188.9586181640625
afg,mf,adult,1996,2984.40869140625
afg,m,total,1996,3584.147705078125
afg,m,youth,1996,992.0802001953125
afg,m,adult,1996,2592.0673828125
afg,f,total,1996,589.2198486328125
afg,f,youth,1996,196.87841796875
afg,f,adult,1996,392.3414001464844
afg,mf,total,1997,4281.29443359375
afg,mf,youth,1997,1220.083251953125
afg,mf,adult,1997,3061.211181640625
afg,m,total,1997,3681.359375
afg,m,youth,1997,1018.94970703125
afg,m,adult,1997,2662.40966796875
afg,f,total,1997,599.93505859375
afg,f,youth,1997,201.13356018066406
afg,f,adult,1997,398.801513671875
afg,mf,total,1998,4373.8974609375
afg,mf,youth,1998,1249.148193359375
afg,mf,adult,1998,3124.74951171875
afg,m,total,1998,3764.756591796875
afg,m,youth,1998,1044.239990234375
afg,m,adult,1998,2720.5166015625
afg,f,total,1998,609.1410522460938
afg,f,youth,1998,204.90823364257812
afg,f,adult,1998,404.2327880859375
afg,mf,total,1999,4483.814453125
afg,mf,youth,1999,1284.1234130859375
afg,mf,adult,1999,3199.691162109375
afg,m,total,1999,3861.925537109375
afg,m,youth,1999,1074.2347412109375
afg,m,adult,1999,2787.69091796875
afg,f,total,1999,621.8890380859375
afg,f,youth,1999,209.888671875
afg,f,adult,1999,412.0003662109375
afg,mf,total,2000,4611.52099609375
afg,mf,youth,2000,1305.7960205078125
afg,mf,adult,2000,3305.724609375
afg,m,total,2000,3975.972900390625
afg,m,youth,2000,1097.34619140625
afg,m,adult,2000,2878.626708984375
afg,f,total,2000,635.5479125976562
afg,f,youth,2000,208.44992065429688
afg,f,adult,2000,427.0979919433594
afg,mf,total,2001,4824.73046875
afg,mf,youth,2001,1379.206787109375
afg,mf,adult,2001,3445.523681640625
afg,m,total,2001,4155.388671875
afg,m,youth,2001,1156.129638671875
afg,m,adult,2001,2999.259033203125
afg,f,total,2001,669.341796875
afg,f,youth,2001,223.0771484375
afg,f,adult,2001,446.2646484375
afg,mf,total,2002,5085.10986328125
afg,mf,youth,2002,1462.9835205078125
afg,mf,adult,2002,3622.1259765625
afg,m,total,2002,4371.751953125
afg,m,youth,2002,1222.0120849609375
afg,m,adult,2002,3149.739990234375
afg,f,total,2002,713.3574829101562
afg,f,youth,2002,240.97146606445312
afg,f,adult,2002,472.38604736328125
afg,mf,total,2003,5370.4521484375
afg,mf,youth,2003,1556.849853515625
afg,mf,adult,2003,3813.6025390625
afg,m,total,2003,4611.40576171875
afg,m,youth,2003,1297.782958984375
afg,m,adult,2003,3313.62255859375
afg,f,total,2003,759.0468139648438
afg,f,youth,2003,259.0669860839844
afg,f,adult,2003,499.9798278808594
afg,mf,total,2004,5660.1826171875
afg,mf,youth,2004,1632.125732421875
afg,mf,adult,2004,4028.05712890625
afg,m,total,2004,4842.005859375
afg,m,youth,2004,1351.455810546875
afg,m,adult,2004,3490.5498046875
afg,f,total,2004,818.177001953125
afg,f,youth,2004,280.66986083984375
afg,f,adult,2004,537.507080078125
afg,mf,total,2005,5926.9970703125
afg,mf,youth,2005,1717.3572998046875
afg,mf,adult,2005,4209.6396484375
afg,m,total,2005,5066.140625
afg,m,youth,2005,1421.85107421875
afg,m,adult,2005,3644.289794921875
afg,f,total,2005,860.8565673828125
afg,f,youth,2005,295.50634765625
afg,f,adult,2005,565.3502197265625
afg,mf,total,2006,6097.47705078125
afg,mf,youth,2006,1734.881591796875
afg,mf,adult,2006,4362.595703125
afg,m,total,2006,5209.78369140625
afg,m,youth,2006,1435.178466796875
afg,m,adult,2006,3774.60498046875
afg,f,total,2006,887.693603515625
afg,f,youth,2006,299.70294189453125
afg,f,adult,2006,587.9905395507812
afg,mf,total,2007,6238.45263671875
afg,mf,youth,2007,1761.747802734375
afg,mf,adult,2007,4476.705078125
afg,m,total,2007,5338.24169921875
afg,m,youth,2007,1463.02587890625
afg,m,adult,2007,3875.2158203125
afg,f,total,2007,900.211181640625
afg,f,youth,2007,298.72198486328125
afg,f,adult,2007,601.4892578125
afg,mf,total,2008,6385.548828125
afg,mf,youth,2008,1770.64501953125
afg,mf,adult,2008,4614.90380859375
afg,m,total,2008,5451.09716796875
afg,m,youth,2008,1465.994873046875
afg,m,adult,2008,3985.102294921875
afg,f,total,2008,934.451904296875
afg,f,youth,2008,304.650146484375
afg,f,adult,2008,629.8016967773438
afg,mf,total,2009,6540.22509765625
afg,mf,youth,2009,1822.05859375
afg,mf,adult,2009,4718.16650390625
afg,m,total,2009,5590.3037109375
afg,m,youth,2009,1515.9715576171875
afg,m,adult,2009,4074.332275390625
afg,f,total,2009,949.9212646484375
afg,f,youth,2009,306.0871887207031
afg,f,adult,2009,643.8341674804688
afg,mf,total,2010,6756.4931640625
afg,mf,youth,2010,1861.59716796875
afg,mf,adult,2010,4894.89501953125
afg,m,total,2010,5746.47607421875
afg,m,youth,2010,1538.6737060546875
afg,m,adult,2010,4207.802734375
afg,f,total,2010,1010.0165405273438
afg,f,youth,2010,322.92364501953125
afg,f,adult,2010,687.0928955078125
afg,mf,total,2011,7199.36669921875
afg,mf,youth,2011,2029.9013671875
afg,mf,adult,2011,5169.46484375
afg,m,total,2011,6093.0380859375
afg,m,youth,2011,1690.5567626953125
afg,m,adult,2011,4402.4814453125
afg,f,total,2011,1106.328369140625
afg,f,youth,2011,339.34466552734375
afg,f,adult,2011,766.983642578125
afg,mf,total,2012,7555.0380859375
afg,mf,youth,2012,2158.72509765625
afg,mf,adult,2012,5396.3134765625
afg,m,total,2012,6368.6298828125
afg,m,youth,2012,1791.79541015625
afg,m,adult,2012,4576.8349609375
afg,f,total,2012,1186.4083251953125
afg,f,youth,2012,366.92962646484375
afg,f,adult,2012,819.4786987304688
afg,mf,total,2013,7953.751953125
afg,mf,youth,2013,2297.69677734375
afg,mf,adult,2013,5656.05517578125
