country,sex,age_group,year,employment_to_population_ratio
afg,mf,total,1991,45.855350494384766
afg,mf,youth,1991,35.3272819519043
afg,mf,adult,1991,51.961822509765625
afg,m,total,1991,76.23688507080078
afg,m,youth,1991,56.17858123779297
afg,m,adult,1991,88.18334197998047
afg,f,total,1991,14.066476821899414
afg,f,youth,1991,12.74560832977295
afg,f,adult,1991,14.81151294708252
afg,mf,total,1992,45.92702865600586
afg,mf,youth,1992,35.33212661743164
afg,mf,adult,1992,52.09593200683594
afg,m,total,1992,76.20930480957031
afg,m,youth,1992,56.08804702758789
afg,m,adult,1992,88.22186279296875
afg,f,total,1992,14.000788688659668
afg,f,youth,1992,12.723885536193848
afg,f,adult,1992,14.724774360656738
afg,mf,total,1993,45.97100830078125
afg,mf,youth,1993,35.373924255371094
afg,mf,adult,1993,52.15810012817383
afg,m,total,1993,76.19856262207031
afg,m,youth,1993,56.12295913696289
afg,m,adult,1993,88.20155334472656
afg,f,total,1993,13.875126838684082
afg,f,youth,1993,12.647650718688965
afg,f,adult,1993,14.573812484741211
afg,mf,total,1994,45.980201721191406
afg,mf,youth,1994,35.41832733154297
afg,mf,adult,1994,52.155517578125
afg,m,total,1994,76.19613647460938
afg,m,youth,1994,56.21944046020508
afg,m,adult,1994,88.14374542236328
afg,f,total,1994,13.72554874420166
afg,f,youth,1994,12.545280456542969
afg,f,adult,1994,14.399043083190918
afg,mf,total,1995,45.974609375
afg,mf,youth,1995,35.396759033203125
afg,mf,adult,1995,52.16009521484375
afg,m,total,1995,76.17054748535156
afg,m,youth,1995,56.19049835205078
afg,m,adult,1995,88.10938262939453
afg,f,total,1995,13.636395454406738
afg,f,youth,1995,12.48746109008789
afg,f,adult,1995,14.29277515411377
afg,mf,total,1996,45.899105072021484
afg,mf,youth,1996,35.405094146728516
afg,mf,adult,1996,52.044654846191406
afg,m,total,1996,76.2204818725586
afg,m,youth,1996,56.34568786621094
afg,m,adult,1996,88.1164321899414
afg,f,total,1996,13.421440124511719
afg,f,youth,1996,12.324512481689453
afg,f,adult,1996,14.048901557922363
afg,mf,total,1997,45.81809616088867
afg,mf,youth,1997,35.314697265625
afg,mf,adult,1997,51.9798698425293
afg,m,total,1997,76.24063873291016
afg,m,youth,1997,56.28530502319336
afg,m,adult,1997,88.20964813232422
afg,f,total,1997,13.286105155944824
afg,f,youth,1997,12.230250358581543
afg,f,adult,1997,13.890929222106934
