country,sex,age_group,year,population_000
afg,mf,total,1991,6646.7080078125
afg,mf,youth,1991,2439.97900390625
afg,mf,adult,1991,4206.72900390625
afg,m,total,1991,3398.583984375
afg,m,youth,1991,1268.593994140625
afg,m,adult,1991,2129.989990234375
afg,f,total,1991,3248.1240234375
afg,f,youth,1991,1171.385009765625
afg,f,adult,1991,2076.739013671875
afg,mf,total,1992,7150.39892578125
afg,mf,youth,1992,2631.27001953125
afg,mf,adult,1992,4519.12890625
afg,m,total,1992,3669.679931640625
afg,m,youth,1992,1371.8330078125
afg,m,adult,1992,2297.846923828125
afg,f,total,1992,3480.718994140625
afg,f,youth,1992,1259.43701171875
afg,f,adult,1992,2221.281982421875
afg,mf,total,1993,7714.52783203125
afg,mf,youth,1993,2843.780029296875
afg,mf,adult,1993,4870.748046875
afg,m,total,1993,3972.89697265625
afg,m,youth,1993,1486.5570068359375
afg,m,adult,1993,2486.340087890625
afg,f,total,1993,3741.630859375
afg,f,youth,1993,1357.2230224609375
afg,f,adult,1993,2384.407958984375
afg,mf,total,1994,8264.11328125
afg,mf,youth,1994,3049.110107421875
afg,mf,adult,1994,5215.0029296875
afg,m,total,1994,4266.90478515625
afg,m,youth,1994,1596.8809814453125
afg,m,adult,1994,2670.02392578125
afg,f,total,1994,3997.20849609375
afg,f,youth,1994,1452.22900390625
afg,f,adult,1994,2544.97900390625
afg,mf,total,1995,8755.7275390625
afg,mf,youth,1995,3230.764892578125
afg,mf,adult,1995,5524.962890625
afg,m,total,1995,4527.83984375
afg,m,youth,1995,1693.5789794921875
afg,m,adult,1995,2834.260986328125
afg,f,total,1995,4227.8876953125
afg,f,youth,1995,1537.18603515625
afg,f,adult,1995,2690.701904296875
afg,mf,total,1996,9092.48046875
afg,mf,youth,1996,3358.156982421875
afg,mf,adult,1996,5734.3232421875
afg,m,total,1996,4702.341796875
afg,m,youth,1996,1760.7030029296875
afg,m,adult,1996,2941.638916015625
afg,f,total,1996,4390.138671875
afg,f,youth,1996,1597.4539794921875
afg,f,adult,1996,2792.68408203125
afg,mf,total,1997,9344.1123046875
afg,mf,youth,1997,3454.887939453125
afg,mf,adult,1997,5889.22412109375
afg,m,total,1997,4828.60498046875
afg,m,youth,1997,1810.3299560546875
afg,m,adult,1997,3018.27490234375
afg,f,total,1997,4515.50732421875
afg,f,youth,1997,1644.5579833984375
afg,f,adult,1997,2870.948974609375
afg,mf,total,1998,9562.3115234375
afg,mf,youth,1998,3540.200927734375
afg,mf,adult,1998,6022.11083984375
afg,m,total,1998,4936.10205078125
afg,m,youth,1998,1853.5489501953125
afg,m,adult,1998,3082.552978515625
afg,f,total,1998,4626.20947265625
afg,f,youth,1998,1686.6519775390625
afg,f,adult,1998,2939.55810546875
afg,mf,total,1999,9812.4326171875
afg,mf,youth,1999,3638.364990234375
afg,mf,adult,1999,6174.06787109375
afg,m,total,1999,5061.85498046875
afg,m,youth,1999,1904.18701171875
afg,m,adult,1999,3157.66796875
afg,f,total,1999,4750.57763671875
afg,f,youth,1999,1734.177978515625
afg,f,adult,1999,3016.39990234375
afg,mf,total,2000,10133.9609375
afg,mf,youth,2000,3764.662109375
afg,mf,adult,2000,6369.298828125
afg,m,total,2000,5227.93994140625
afg,m,youth,2000,1970.7149658203125
afg,m,adult,2000,3257.22509765625
afg,f,total,2000,4906.02099609375
afg,f,youth,2000,1793.947021484375
afg,f,adult,2000,3112.073974609375
afg,mf,total,2001,10572.302734375
afg,mf,youth,2001,3959.14990234375
afg,mf,adult,2001,6613.15283203125
afg,m,total,2001,5463.9521484375
afg,m,youth,2001,2072.425048828125
afg,m,adult,2001,3391.527099609375
afg,f,total,2001,5108.3505859375
afg,f,youth,2001,1886.7249755859375
afg,f,adult,2001,3221.6259765625
afg,mf,total,2002,11098.623046875
afg,mf,youth,2002,4182.89111328125
afg,mf,adult,2002,6915.73193359375
afg,m,total,2002,5748.0869140625
afg,m,youth,2002,2188.514892578125
afg,m,adult,2002,3559.572021484375
afg,f,total,2002,5350.5361328125
afg,f,youth,2002,1994.3759765625
